districtNumber;districtName;orderList;name;age;votes;nomParty
33;Jihoèeskı;4;Vondrouš Jan;39;2 751;ODA
33;Jihoèeskı;5;Slabı Jiøí;54;1 643;ODA
33;Jihoèeskı;6;Troup Zdenìk;37;1 640;ODA
33;Jihoèeskı;7;Chadimová Dagmar;39;1 798;ODA
33;Jihoèeskı;8;Plášil Vladimír;43;910;ODA
33;Jihoèeskı;9;Kováø Stanislav;39;1 028;ODA
33;Jihoèeskı;10;Mizerová Ivana;30;1 510;ODA
33;Jihoèeskı;11;Koláø Pavel;36;1 722;ODA
33;Jihoèeskı;12;Maèí Jiøina;41;437;ODA
33;Jihoèeskı;13;Kváš Jiøí;31;785;ODA
34;Západoèeskı;1;Dobal Viktor;45;1 985;ODA
34;Západoèeskı;2;Kotek Jiøí;35;2 869;ODA
34;Západoèeskı;3;Štern Ivan;43;1 177;ODA
34;Západoèeskı;4;Knob Vilibald;32;1 520;ODA
34;Západoèeskı;5;Èeška Roman;28;2 074;ODA
34;Západoèeskı;6;Horník Jan;37;1 702;ODA
34;Západoèeskı;7;Kirschnek Jan;40;1 060;ODA
34;Západoèeskı;8;Jurica Antonín;32;1 228;ODA
34;Západoèeskı;9;Bláhovec Jiøí;40;2 268;ODA
34;Západoèeskı;10;Drdáková Eva;35;414;ODA
34;Západoèeskı;11;Tyl Jiøí;41;832;ODA
34;Západoèeskı;12;Havlová Alena;31;1 706;ODA
34;Západoèeskı;13;Provazník Ondøej;39;374;ODA
35;Severoèeskı;1;Jeek Tomáš;52;8 235;ODA
35;Severoèeskı;2;Effenberger Josef;58;2 295;ODA
35;Severoèeskı;3;Èerbák Miroslav;56;4 661;ODA
35;Severoèeskı;4;Køivohlavı Milan;43;3 338;ODA
35;Severoèeskı;5;Procházka Jan;35;1 544;ODA
35;Severoèeskı;6;Michálek Martin;32;2 233;ODA
35;Severoèeskı;7;Baader Miroslav;39;4 261;ODA
35;Severoèeskı;8;Èernı Milan;44;530;ODA
35;Severoèeskı;9;Kafka Jan;45;1 396;ODA
35;Severoèeskı;10;Cháb Milan;40;2 388;ODA
35;Severoèeskı;11;Zelenka Tomáš;41;1 207;ODA
35;Severoèeskı;12;Khauer Václav;47;420;ODA
35;Severoèeskı;13;Dolejší Stanislava;50;1 318;ODA
35;Severoèeskı;14;Kalfiøt Jaroslav;43;1 526;ODA
35;Severoèeskı;15;Kalina Petr;49;1 083;ODA
36;Vıchodoèeskı;1;Ledvinka Karel;51;2 479;ODA
36;Vıchodoèeskı;2;Kulka Dušan;30;2 189;ODA
36;Vıchodoèeskı;3;Nìmeèek Rudolf;43;2 081;ODA
36;Vıchodoèeskı;4;Kudrnáè Ondøej;38;1 522;ODA
36;Vıchodoèeskı;5;Doskoèil Jan;50;1 024;ODA
36;Vıchodoèeskı;6;Zahradník Zdenìk;37;1 218;ODA
36;Vıchodoèeskı;7;Dohnálek Petr;50;1 041;ODA
36;Vıchodoèeskı;8;Novotnı Vít;25;1 615;ODA
36;Vıchodoèeskı;9;Šumskı Bohumír;47;813;ODA
36;Vıchodoèeskı;10;Bakalíková Lıdie;57;1 166;ODA
36;Vıchodoèeskı;11;Kubeš Jiøí;41;2 910;ODA
36;Vıchodoèeskı;12;Konvalina Jan;41;449;ODA
36;Vıchodoèeskı;13;Èerná Milada;52;1 122;ODA
36;Vıchodoèeskı;14;Vanèurová Marta;40;506;ODA
36;Vıchodoèeskı;15;Tomáš Josef;38;1 904;ODA
36;Vıchodoèeskı;16;Dušková Milena;31;1 264;ODA
36;Vıchodoèeskı;17;Meško Alexandr;46;1 200;ODA
36;Vıchodoèeskı;18;Haldová Jarmila;41;497;ODA
36;Vıchodoèeskı;19;Nıèová Vítìzslava;44;686;ODA
36;Vıchodoèeskı;20;idlickı Jan;43;244;ODA
36;Vıchodoèeskı;21;Šmídová Jana;47;483;ODA
36;Vıchodoèeskı;22;Votruba Tomáš;26;909;ODA
37;Jihomoravskı;1;Hofhanzl Èestmír;51;3 520;ODA
37;Jihomoravskı;2;Nedbálek Lubomír;53;2 374;ODA
37;Jihomoravskı;3;Kalous Jaroslav;43;1 669;ODA
37;Jihomoravskı;4;Roudnická Jiøina;47;1 580;ODA
37;Jihomoravskı;5;Kynèl Milan;52;2 499;ODA
37;Jihomoravskı;6;Hrùša Petr;37;1 725;ODA
37;Jihomoravskı;7;Kovaøík Jan;62;876;ODA
37;Jihomoravskı;8;Gabriel František;44;712;ODA
37;Jihomoravskı;9;Papugová Hana;42;499;ODA
37;Jihomoravskı;10;Veleba Lubor;49;900;ODA
37;Jihomoravskı;11;Berka Jiøí;39;2 350;ODA
37;Jihomoravskı;12;Jílek Jan;42;1 068;ODA
37;Jihomoravskı;13;Nevrkla Ladislav;36;640;ODA
37;Jihomoravskı;14;Bryša Libor;37;717;ODA
37;Jihomoravskı;15;Oltová Alexandra;44;407;ODA
37;Jihomoravskı;16;Zeman Pavel;42;1 237;ODA
37;Jihomoravskı;17;Kamaryt Josef;28;1 166;ODA
37;Jihomoravskı;18;Fuèík Petr;36;1 517;ODA
37;Jihomoravskı;19;Mouèka Jiøí;35;520;ODA
37;Jihomoravskı;20;Šindeláøová Eva;43;481;ODA
37;Jihomoravskı;21;Sládková Marie;37;414;ODA
37;Jihomoravskı;22;Brychtová Blanka;32;1 045;ODA
37;Jihomoravskı;23;Dan Jiøí;42;734;ODA
37;Jihomoravskı;24;Stejskalová Simona;27;1 056;ODA
37;Jihomoravskı;25;Bergmann Pavel;33;364;ODA
37;Jihomoravskı;26;Hladkı Adam;40;279;ODA
37;Jihomoravskı;27;Køíová Jarmila;39;232;ODA
38;Severomoravskı;1;Lojdová Kateøina;31;8 061;ODA
38;Severomoravskı;2;Hába René;27;2 403;ODA
38;Severomoravskı;3;Wantula Tadeusz;42;3 950;ODA
38;Severomoravskı;4;Fiedor Jiøí;27;2 644;ODA
38;Severomoravskı;5;Košackı Petr;47;1 748;ODA
38;Severomoravskı;6;Vilhelm Jan;43;3 347;ODA
38;Severomoravskı;7;Caras Jaroslav;46;1 739;ODA
38;Severomoravskı;8;Vanìk František;28;876;ODA
38;Severomoravskı;10;Vinkler Miroslav;34;919;ODA
38;Severomoravskı;11;Filip Vladimír;24;915;ODA
38;Severomoravskı;12;Dufek Jiøí;29;1 958;ODA
38;Severomoravskı;13;Meitnerová Regina;36;684;ODA
38;Severomoravskı;14;Klouzal Tomáš;27;821;ODA
38;Severomoravskı;15;Poláchová Alexandra;44;1 727;ODA
38;Severomoravskı;16;Korábik Drahomír;36;737;ODA
38;Severomoravskı;17;Kudla Petr;24;274;ODA
38;Severomoravskı;18;Šulák Tomáš;21;999;ODA
38;Severomoravskı;19;Studenı Miroslav;40;2 323;ODA
38;Severomoravskı;20;Menšík Karel;33;1 468;ODA
38;Severomoravskı;21;Blaková Marcela;40;2 547;ODA
38;Severomoravskı;22;David Roman;24;1 562;ODA
38;Severomoravskı;23;Kyselı Josef;65;250;ODA
38;Severomoravskı;24;Tišnovskı Stanislav;59;186;ODA
38;Severomoravskı;25;Jerie Jaroslav;35;258;ODA
31;Hl.m.Praha;1;Trojan Zdenìk;56;2 413;ÈSSD
31;Hl.m.Praha;2;Gross Stanislav;22;1 146;ÈSSD
31;Hl.m.Praha;3;Janoušek Petr;48;1 570;ÈSSD
31;Hl.m.Praha;4;Havlíèek Ivan;47;1 130;ÈSSD
31;Hl.m.Praha;5;Kalenskı Jiøí;61;732;ÈSSD
31;Hl.m.Praha;6;Polák Jiøí;46;1 159;ÈSSD
31;Hl.m.Praha;7;Volfová Jana;34;1 313;ÈSSD
31;Hl.m.Praha;8;Morávek Josef;58;833;ÈSSD
31;Hl.m.Praha;9;Matyáš František;52;437;ÈSSD
31;Hl.m.Praha;10;Tomèík Jan;44;780;ÈSSD
31;Hl.m.Praha;11;Nìmeèková Alena;35;973;ÈSSD
31;Hl.m.Praha;12;Jehlièková Vìra;59;1 150;ÈSSD
31;Hl.m.Praha;13;Gubín Oleg;56;218;ÈSSD
31;Hl.m.Praha;14;Bìlovskı Jindøich;51;447;ÈSSD
31;Hl.m.Praha;15;Kraft Jiøí;40;994;ÈSSD
31;Hl.m.Praha;16;Šplíchal Karel;45;677;ÈSSD
31;Hl.m.Praha;17;Vırut Karel;51;311;ÈSSD
31;Hl.m.Praha;18;Krampla Josef;51;422;ÈSSD
31;Hl.m.Praha;19;Frömer Miroslav;56;432;ÈSSD
31;Hl.m.Praha;20;Velát Jan;40;203;ÈSSD
31;Hl.m.Praha;21;Skálová Libuše;46;551;ÈSSD
31;Hl.m.Praha;22;Špaèek Roman;32;386;ÈSSD
31;Hl.m.Praha;23;Malec Pavel;42;752;ÈSSD
31;Hl.m.Praha;24;Vácha Karel;50;1 392;ÈSSD
31;Hl.m.Praha;25;Hendl František;48;855;ÈSSD
31;Hl.m.Praha;26;Dreksler Václav;32;29;ÈSSD
31;Hl.m.Praha;27;Stavìla Rudolf;48;7;ÈSSD
31;Hl.m.Praha;28;Máša Miloš;52;34;ÈSSD
31;Hl.m.Praha;29;Šastnı Václav;40;65;ÈSSD
31;Hl.m.Praha;30;Zachar Zdenìk;50;49;ÈSSD
31;Hl.m.Praha;31;Dimitrov Kosta;43;21;ÈSSD
31;Hl.m.Praha;32;Jílek Otakar;62;25;ÈSSD
31;Hl.m.Praha;33;Mikulíèková Jindra;60;15;ÈSSD
31;Hl.m.Praha;34;Voboøil Petr;62;50;ÈSSD
32;Støedoèeskı;1;Bláha Jan;37;2 196;ÈSSD
32;Støedoèeskı;2;Machovec Karel;33;2 108;ÈSSD
32;Støedoèeskı;3;Korf Jan;36;1 550;ÈSSD
32;Støedoèeskı;4;Starı Jiøí;37;2 228;ÈSSD
32;Støedoèeskı;5;Maòásek Jaroslav;49;1 706;ÈSSD
32;Støedoèeskı;6;Boukal Roman;27;2 449;ÈSSD
32;Støedoèeskı;7;Sluka Václav;23;1 158;ÈSSD
32;Støedoèeskı;8;Kokuòko Alexandr;58;679;ÈSSD
32;Støedoèeskı;9;Sejèek Miroslav;37;1 564;ÈSSD
32;Støedoèeskı;10;Semrád Milan;39;790;ÈSSD
32;Støedoèeskı;11;Klaban Slavomír;69;981;ÈSSD
32;Støedoèeskı;12;Kopalová Marie;44;655;ÈSSD
32;Støedoèeskı;13;Sládek Josef;46;1 047;ÈSSD
32;Støedoèeskı;14;Králík Bedøich;65;334;ÈSSD
32;Støedoèeskı;15;Kaiserová Anna;52;1 540;ÈSSD
32;Støedoèeskı;16;Kubásek Antonín;51;570;ÈSSD
32;Støedoèeskı;17;Pácha Oldøich;53;599;ÈSSD
32;Støedoèeskı;18;Balek Karel;52;1 205;ÈSSD
32;Støedoèeskı;19;Patoèka Jaromír;57;1 970;ÈSSD
32;Støedoèeskı;20;Kodet Jaroslav;51;1 242;ÈSSD
32;Støedoèeskı;21;Valeckı Miroslav;43;702;ÈSSD
32;Støedoèeskı;22;aloudek Karel;50;601;ÈSSD
32;Støedoèeskı;23;Müller Václav;58;957;ÈSSD
32;Støedoèeskı;24;Zábojník Marek;29;516;ÈSSD
32;Støedoèeskı;25;Holeèková Zdeòka;57;1 069;ÈSSD
32;Støedoèeskı;26;Chittussi Vladimír;64;30;ÈSSD
32;Støedoèeskı;27;Vanèura Jiøí;45;140;ÈSSD
32;Støedoèeskı;28;Chromková Eva;27;107;ÈSSD
32;Støedoèeskı;29;Koenı Petr;44;219;ÈSSD
32;Støedoèeskı;30;Vomáèko Ladislav;48;101;ÈSSD
32;Støedoèeskı;31;Stehno František;39;158;ÈSSD
33;Jihoèeskı;1;Zeman Eduard;44;3 928;ÈSSD
33;Jihoèeskı;2;Buzková Petra;27;2 152;ÈSSD
33;Jihoèeskı;3;Vachta Karel;49;2 765;ÈSSD
33;Jihoèeskı;4;Lutrová Yvetta;32;3 004;ÈSSD
33;Jihoèeskı;5;Bohdalová Vlasta;35;1 553;ÈSSD
33;Jihoèeskı;6;Jarošek Herbert;67;1 781;ÈSSD
33;Jihoèeskı;7;Šestáková Libuše;44;1 208;ÈSSD
33;Jihoèeskı;8;Prokeš Miroslav;51;1 755;ÈSSD
33;Jihoèeskı;9;Erben Václav;61;779;ÈSSD
33;Jihoèeskı;10;Prùša Jiøí;48;2 574;ÈSSD
33;Jihoèeskı;11;Nyvlt Emil;42;854;ÈSSD
33;Jihoèeskı;12;Farka Miloslav;44;1 162;ÈSSD
33;Jihoèeskı;13;Kantor Manfred;61;936;ÈSSD
33;Jihoèeskı;14;Pacner Michael;48;499;ÈSSD
33;Jihoèeskı;15;Klaus Jaroslav;58;364;ÈSSD
33;Jihoèeskı;16;Borskı Jan;41;1 873;ÈSSD
33;Jihoèeskı;17;Slavík Bohumil;54;387;ÈSSD
33;Jihoèeskı;18;Sládek František;46;481;ÈSSD
33;Jihoèeskı;19;Sedlmajer Miroslav;44;1 160;ÈSSD
33;Jihoèeskı;20;Prùša František;47;1 027;ÈSSD
34;Západoèeskı;1;Øezníèek Miroslav;50;2 467;ÈSSD
34;Západoèeskı;2;Broík František;37;2 050;ÈSSD
34;Západoèeskı;3;Srb Václav;44;2 348;ÈSSD
34;Západoèeskı;4;Prùša Josef;53;3 956;ÈSSD
34;Západoèeskı;5;Hanzl Václav;50;2 003;ÈSSD
34;Západoèeskı;6;Vítek Jaroslav;37;1 474;ÈSSD
34;Západoèeskı;7;Veselı Václav;42;1 612;ÈSSD
34;Západoèeskı;8;Puèelík Milan;45;1 245;ÈSSD
34;Západoèeskı;9;Pøikrylová Marie;46;1 823;ÈSSD
34;Západoèeskı;10;Štìpánková Jana;34;1 847;ÈSSD
34;Západoèeskı;11;Dojèar František;54;639;ÈSSD
34;Západoèeskı;12;Baborovskı Jaroslav;46;2 581;ÈSSD
34;Západoèeskı;13;Lehnert Karel;52;884;ÈSSD
34;Západoèeskı;14;Koíšek Oldøich;46;684;ÈSSD
34;Západoèeskı;15;Pöpperl Jiøí;64;1 300;ÈSSD
34;Západoèeskı;16;Posseltová Vìra;50;687;ÈSSD
34;Západoèeskı;17;Tlustı Jaroslav;41;612;ÈSSD
34;Západoèeskı;18;Straka Jaroslav;36;1 094;ÈSSD
34;Západoèeskı;19;Hauer Václav;44;1 061;ÈSSD
34;Západoèeskı;20;Frouz Jaroslav;38;2 284;ÈSSD
34;Západoèeskı;21;Strachota Antonín;51;530;ÈSSD
34;Západoèeskı;22;Rezáè František;47;659;ÈSSD
34;Západoèeskı;23;Vítková Helena;31;600;ÈSSD
34;Západoèeskı;24;Pittr Václav;47;447;ÈSSD
34;Západoèeskı;25;Weinfurterová Olga;38;732;ÈSSD
35;Severoèeskı;1;Hrdı Karel;50;3 608;ÈSSD
35;Severoèeskı;2;Petrílek Pavel;52;3 601;ÈSSD
35;Severoèeskı;3;Václavíèek Arnošt;55;4 210;ÈSSD
35;Severoèeskı;4;Matìcha Miroslav;47;2 838;ÈSSD
35;Severoèeskı;5;Rašková Marie;45;5 364;ÈSSD
35;Severoèeskı;6;Bartoš Václav;67;809;ÈSSD
35;Severoèeskı;7;Brynda Dalibor;61;2 395;ÈSSD
35;Severoèeskı;8;Vištejn Jaroslav;55;1 139;ÈSSD
35;Severoèeskı;9;Praus Petr;29;2 766;ÈSSD
35;Severoèeskı;10;Musiál Jaroslav;71;2 156;ÈSSD
35;Severoèeskı;11;Fryc Jiøí;56;1 605;ÈSSD
35;Severoèeskı;12;Pavlas Luboš;41;2 545;ÈSSD
35;Severoèeskı;13;Foldyna Jaroslav;31;2 059;ÈSSD
35;Severoèeskı;14;Greèl Jaroslav;49;1 179;ÈSSD
35;Severoèeskı;15;Kutner Karel;62;734;ÈSSD
35;Severoèeskı;16;Farmaèka Jaroslav;42;2 116;ÈSSD
35;Severoèeskı;17;Menšíková Helena;35;1 172;ÈSSD
35;Severoèeskı;19;Klempíø Jan;57;666;ÈSSD
35;Severoèeskı;20;Mráz Jaromír;51;986;ÈSSD
35;Severoèeskı;21;Zinga Peter;45;917;ÈSSD
35;Severoèeskı;22;Vostárek Tomáš;50;1 111;ÈSSD
35;Severoèeskı;23;Regenermlová Andìla;50;912;ÈSSD
35;Severoèeskı;24;Zelenka Ludìk;44;846;ÈSSD
35;Severoèeskı;25;Souèek Ota;34;1 053;ÈSSD
35;Severoèeskı;26;Koubová Jana;50;100;ÈSSD
35;Severoèeskı;27;Nìmec Jiøí;37;262;ÈSSD
35;Severoèeskı;29;Bechynì Jan;53;62;ÈSSD
35;Severoèeskı;30;Kováè Viktor;52;45;ÈSSD
35;Severoèeskı;31;Zich Miloslav;32;197;ÈSSD
35;Severoèeskı;32;Zvìøinová Svìtlana;28;101;ÈSSD
35;Severoèeskı;33;Bohatec Vlastimil;43;60;ÈSSD
36;Vıchodoèeskı;1;Doubrava Vlastimil;47;3 441;ÈSSD
36;Vıchodoèeskı;2;Faifr Jiøí;29;1 852;ÈSSD
36;Vıchodoèeskı;3;Èevela Rostislav;39;4 028;ÈSSD
36;Vıchodoèeskı;4;Trantírek Lubomír;41;1 274;ÈSSD
36;Vıchodoèeskı;5;ïárová Viktorie;53;2 084;ÈSSD
36;Vıchodoèeskı;6;Èernı Milan;28;1 086;ÈSSD
36;Vıchodoèeskı;7;Madle Luboš;52;1 315;ÈSSD
36;Vıchodoèeskı;8;Horáèek Josef;40;842;ÈSSD
36;Vıchodoèeskı;9;Plocová Boena;39;991;ÈSSD
36;Vıchodoèeskı;10;Vízner Josef;43;868;ÈSSD
36;Vıchodoèeskı;11;Bárta Petr;32;938;ÈSSD
36;Vıchodoèeskı;12;Navrátil František;49;1 348;ÈSSD
36;Vıchodoèeskı;13;Malı Zdenìk;50;633;ÈSSD
36;Vıchodoèeskı;14;Pospíšil Ludvík;33;981;ÈSSD
36;Vıchodoèeskı;15;Karlíèek Jiøí;46;508;ÈSSD
36;Vıchodoèeskı;16;Mackù Eduard;33;766;ÈSSD
36;Vıchodoèeskı;17;Koláø Jaroslav;36;457;ÈSSD
36;Vıchodoèeskı;18;Motyèková Jana;45;1 158;ÈSSD
36;Vıchodoèeskı;19;Sokol Jiøí;50;1 047;ÈSSD
36;Vıchodoèeskı;20;Háková Vladimíra;41;1 042;ÈSSD
36;Vıchodoèeskı;21;Hlošek Petr;46;1 071;ÈSSD
36;Vıchodoèeskı;22;Schlappl Jaroslav;48;653;ÈSSD
36;Vıchodoèeskı;23;Boháè Jan;55;607;ÈSSD
36;Vıchodoèeskı;24;Novotnı Milan;42;1 182;ÈSSD
36;Vıchodoèeskı;25;Walter Jaroslav;53;1 065;ÈSSD
36;Vıchodoèeskı;26;Mangel Alexander;60;54;ÈSSD
36;Vıchodoèeskı;27;Svoboda Karel;54;54;ÈSSD
36;Vıchodoèeskı;28;Loos Lumír;37;112;ÈSSD
36;Vıchodoèeskı;29;Luska Petr;27;40;ÈSSD
36;Vıchodoèeskı;30;Sıkora Stanislav;40;48;ÈSSD
36;Vıchodoèeskı;31;Navrátilová Hana;46;79;ÈSSD
36;Vıchodoèeskı;32;Hrnèiarik Michal;39;23;ÈSSD
36;Vıchodoèeskı;33;Danìk Jiøí;37;76;ÈSSD
36;Vıchodoèeskı;34;Bøezina Jiøí;42;29;ÈSSD
36;Vıchodoèeskı;35;Lev Jan;62;62;ÈSSD
36;Vıchodoèeskı;36;Dostálová Alena;35;140;ÈSSD
37;Jihomoravskı;1;Grulich Václav;60;3 997;ÈSSD
37;Jihomoravskı;2;Wágner Jozef;51;2 243;ÈSSD
37;Jihomoravskı;3;Klofáè Pavel;51;2 802;ÈSSD
37;Jihomoravskı;4;Škromach Zdenìk;35;3 006;ÈSSD
37;Jihomoravskı;5;Jašek Pavel;37;2 637;ÈSSD
37;Jihomoravskı;6;Dostál Vítìzslav;50;1 827;ÈSSD
37;Jihomoravskı;7;Vymìtal Vojtìch;43;1 488;ÈSSD
37;Jihomoravskı;8;Švec František;35;3 367;ÈSSD
37;Jihomoravskı;9;Krušina Jan;44;562;ÈSSD
37;Jihomoravskı;10;Kinzel Ivan;47;1 868;ÈSSD
37;Jihomoravskı;11;Zelníèek František;43;1 201;ÈSSD
37;Jihomoravskı;12;Kruíková Danuše;42;1 089;ÈSSD
37;Jihomoravskı;13;Seïa Antonín;31;1 466;ÈSSD
37;Jihomoravskı;14;Kulhavı Petr;24;824;ÈSSD
37;Jihomoravskı;15;Václavek Jiøí;50;2 088;ÈSSD
37;Jihomoravskı;16;Bednaøíková Jarmila;39;1 683;ÈSSD
37;Jihomoravskı;17;Vojtan Antonín;46;778;ÈSSD
37;Jihomoravskı;18;Pavlík Miroslav;50;518;ÈSSD
37;Jihomoravskı;19;Rundtová Marie;42;1 264;ÈSSD
37;Jihomoravskı;20;Peška Jiøí;49;1 304;ÈSSD
37;Jihomoravskı;21;Kristek Milan;27;1 813;ÈSSD
37;Jihomoravskı;22;Lekavı Ladislav;41;510;ÈSSD
37;Jihomoravskı;23;Vlasák Josef;57;581;ÈSSD
37;Jihomoravskı;24;Pohanka Vladimír;52;834;ÈSSD
37;Jihomoravskı;25;Skoøepa František;71;529;ÈSSD
37;Jihomoravskı;26;Peška Miroslav;46;77;ÈSSD
37;Jihomoravskı;27;Nezhyba Pavel;43;51;ÈSSD
37;Jihomoravskı;28;Juren František;57;53;ÈSSD
37;Jihomoravskı;30;Karšulínová Zdena;65;28;ÈSSD
37;Jihomoravskı;31;Prášek Jiøí;52;54;ÈSSD
37;Jihomoravskı;32;Vaníèková Alice;28;37;ÈSSD
37;Jihomoravskı;33;Šípek Jiøí;29;56;ÈSSD
37;Jihomoravskı;34;Hutaø Ivan;38;174;ÈSSD
37;Jihomoravskı;35;Matuška František;54;57;ÈSSD
37;Jihomoravskı;36;Grossman Jiøí;59;202;ÈSSD
37;Jihomoravskı;37;Mikula Vlastimil;39;83;ÈSSD
37;Jihomoravskı;38;Znojil Jan;44;64;ÈSSD
37;Jihomoravskı;39;Simon Jan;42;18;ÈSSD
37;Jihomoravskı;40;Volf Vladimír;40;93;ÈSSD
37;Jihomoravskı;41;Hrdina Milan;45;93;ÈSSD
37;Jihomoravskı;42;Jakubec Aleš;27;20;ÈSSD
37;Jihomoravskı;43;Špánek Josef;33;60;ÈSSD
37;Jihomoravskı;44;Šindlerová Jana;26;98;ÈSSD
37;Jihomoravskı;45;Fiala Bohumil;39;75;ÈSSD
37;Jihomoravskı;46;Jiøíkovskı Karel;48;42;ÈSSD
37;Jihomoravskı;47;Mikula Karel;41;37;ÈSSD
37;Jihomoravskı;48;Szczepánek Oldøich;43;66;ÈSSD
37;Jihomoravskı;49;Slušnı Jaroslav;50;90;ÈSSD
37;Jihomoravskı;50;Velc Petr;41;48;ÈSSD
37;Jihomoravskı;51;Suchánek Eduard;54;16;ÈSSD
37;Jihomoravskı;52;Bukovskı Vladimír;26;94;ÈSSD
37;Jihomoravskı;53;Švehla Karel;43;22;ÈSSD
37;Jihomoravskı;54;Vetchı Vladimír;43;77;ÈSSD
37;Jihomoravskı;55;Král Jaroslav;47;16;ÈSSD
37;Jihomoravskı;56;Buczyk Jan;43;41;ÈSSD
37;Jihomoravskı;57;Gricová Jiøina;36;66;ÈSSD
38;Severomoravskı;1;Dostál Robert;63;10 117;ÈSSD
38;Severomoravskı;2;Fischerová Eva;57;3 422;ÈSSD
38;Severomoravskı;3;Chobot František;54;3 192;ÈSSD
38;Severomoravskı;4;Kozák Miloslav;45;4 003;ÈSSD
38;Severomoravskı;5;Sochor Vítìzslav;61;1 943;ÈSSD
38;Severomoravskı;6;Mièka Zbynìk;56;3 156;ÈSSD
38;Severomoravskı;7;Vágner Oldøich;55;1 904;ÈSSD
38;Severomoravskı;8;Ullrichová Pavla;22;3 852;ÈSSD
38;Severomoravskı;9;Nìmec Jiøí;59;2 834;ÈSSD
38;Severomoravskı;10;Hrbáè Petr;40;1 649;ÈSSD
38;Severomoravskı;11;Švejda Josef;50;1 596;ÈSSD
38;Severomoravskı;12;Jaskula Bohumil;49;1 549;ÈSSD
38;Severomoravskı;13;Dulínková Michaela;21;1 346;ÈSSD
38;Severomoravskı;14;Pøichystal Aleš;27;1 482;ÈSSD
38;Severomoravskı;15;Ostøanskı Jiøí;28;2 237;ÈSSD
38;Severomoravskı;16;Moravec Zdenìk;62;1 275;ÈSSD
38;Severomoravskı;17;Sochorek Stanislav;41;2 274;ÈSSD
38;Severomoravskı;18;Gluè Stanislav;30;1 416;ÈSSD
38;Severomoravskı;19;Robíèek Petr;34;2 352;ÈSSD
38;Severomoravskı;20;Falta Milan;58;1 313;ÈSSD
38;Severomoravskı;21;Ferfecki Jan;59;721;ÈSSD
38;Severomoravskı;22;Rojíèek Miroslav;47;1 394;ÈSSD
38;Severomoravskı;23;Cebula Ladislav;65;994;ÈSSD
