nomPartyNumber,nomParty,listOrder,name1,name2,acadTitle,age,occupation,residency,membParty,name,minor
17,ANO,37,Anna,Ondrušeková,PaedDr.,43,riaditeľka galérie,Poprad,ANO,Anna Ondrušeková,0
17,ANO,38,Vlastimil,Ondrejka,JUDr.,49,právnik,Sečovce,ANO,Vlastimil Ondrejka,0
17,ANO,39,Jozef,Lahký,Ing.,50,podnikateľ,Zvolen,ANO,Jozef Lahký,0
17,ANO,40,Jindřich,Šafář,,47,podnikateľ,Bratislava,ANO,Jindřich Šafář,0
17,ANO,41,Peter,Štefánik,Ing.,51,podnikateľ,Trenčín,ANO,Peter Štefánik,0
17,ANO,42,Igor,Šipula,Ing.,39,podnikateľ,Dunajská Streda,ANO,Igor Šipula,0
17,ANO,43,Radovan,Benďák,,32,technik,Nitra,ANO,Radovan Benďák,0
17,ANO,44,Martin,Horanský,,35,podnikateľ,Martin,ANO,Martin Horanský,0
17,ANO,45,Jaroslav,Suchý,PaedDr.,43,učiteľ,Humenné,ANO,Jaroslav Suchý,0
17,ANO,46,Jaroslav,Pástor,Mgr.,42,manažér,Košice,ANO,Jaroslav Pástor,0
17,ANO,47,Martin,Gonda,,46,starosta,Beňuš,ANO,Martin Gonda,0
17,ANO,48,Gabriel,Almáši,JUDr.,39,advokát,Bratislava,ANO,Gabriel Almáši,0
17,ANO,49,Peter,Šťastný,MUDr.,32,lekár,Senica,ANO,Peter Šťastný,0
17,ANO,50,Tibor,Sklut,,39,starosta obce,Horná Potôň,ANO,Tibor Sklut,0
17,ANO,51,Juraj,Kisely,PhDr. CSc.,49,psychológ,Nové Zámky,ANO,Juraj Kisely,0
17,ANO,52,Peter,Hacaj,Mgr.,53,riaditeľ gymnázia,Dolný Kubín,BEZPP,Peter Hacaj,0
17,ANO,53,Ján,Mitaľ,Ing.,45,podnikateľ,Vranov nad Topľou,ANO,Ján Mitaľ,0
17,ANO,54,Ján,Kováčik,JUDr.,39,právnik,Košice,ANO,Ján Kováčik,0
17,ANO,55,František,Kán,Ing.,41,úradník,Revúca,ANO,František Kán,0
17,ANO,56,Pavel,Derkay,Ing.,40,podnikateľ,Bratislava,ANO,Pavel Derkay,0
17,ANO,57,Monika,Geletová,Ing.,34,manažérka,Bánovce nad Bebravou,ANO,Monika Geletová,0
17,ANO,58,Peter,Hurtík,Ing.,32,manažér,Piešťany,ANO,Peter Hurtík,0
17,ANO,59,Július,Bizoň,,42,vedúci pracovník,Tlmače,ANO,Július Bizoň,0
17,ANO,60,Jozef,Tholt,MUDr.,47,lekár,Dolný Kubín,BEZPP,Jozef Tholt,0
17,ANO,61,Ján,Marinič,Ing.,38,podnikateľ,Snina,ANO,Ján Marinič,0
17,ANO,62,Angela,Michňová,Ing.,54,ekonómka,Košice,ANO,Angela Michňová,0
17,ANO,63,Ján,Korista,,43,technik,Nová Baňa,BEZPP,Ján Korista,0
17,ANO,64,Július,Šubík,Ing.,30,manažér,Bratislava,ANO,Július Šubík,0
17,ANO,65,Štefan,Kvasnica,Mgr.,42,právnik,Myjava,ANO,Štefan Kvasnica,0
17,ANO,66,Viktor,Béreš,Ing.,25,manažér,Holíč,ANO,Viktor Béreš,0
17,ANO,67,Miroslav,Kováč,Ing.,48,riadiaci pracovník,Zlaté Moravce,ANO,Miroslav Kováč,0
17,ANO,68,Dušan,Tomaník,Ing.,50,podnikateľ,Bytča,ANO,Dušan Tomaník,0
17,ANO,69,Vladimír,Cahajla,JUDr.,51,právnik,Bardejov,ANO,Vladimír Cahajla,0
17,ANO,70,Michal,Jalčovík,MUDr.,51,lekár,Trebišov,ANO,Michal Jalčovík,0
17,ANO,71,Kamil,Rajkovič,Ing.,25,manažér,Revúca,ANO,Kamil Rajkovič,0
17,ANO,72,Viliam,Páleník,doc. RNDr. PhD.,45,vedecký pracovník,Bratislava,ANO,Viliam Páleník,0
17,ANO,73,Pavol,Ferianec,,35,podnikateľ,Rudník,ANO,Pavol Ferianec,0
17,ANO,74,Dezider,Plavy,,32,podnikateľ,Dunajská Streda,ANO,Dezider Plavy,0
17,ANO,75,Milan,Šebesta,Ing.,48,podnikateľ,Levice,ANO,Milan Šebesta,0
17,ANO,76,Peter,Jantulík,,29,podnikateľ,Čadca,ANO,Peter Jantulík,0
17,ANO,77,Juraj,Seman,,44,štátny zamestnanec,Spišská Nová Ves,ANO,Juraj Seman,0
17,ANO,78,Ľubica,Mrvíková,MUDr.,48,lekárka,Košice,ANO,Ľubica Mrvíková,0
17,ANO,79,Helena,Kokavcová,,48,podnikateľka,Brezno,ANO,Helena Kokavcová,0
17,ANO,80,Miroslav,Šotník,Ing.,39,riaditeľ pobočky banky,Bratislava,ANO,Miroslav Šotník,0
17,ANO,81,Ivan,Novák,MUDr.,56,lekár,Liptovský Mikuláš,ANO,Ivan Novák,0
17,ANO,82,Ľubomír,Fábik,,36,podnikateľ,Častkov,ANO,Ľubomír Fábik,0
17,ANO,83,Katarína,Katonová,Mgr.,36,magistra,Topoľčany,ANO,Katarína Katonová,0
17,ANO,84,Vladimír,Majer,MVDr.,41,podnikateľ,Liptovský Mikuláš,ANO,Vladimír Majer,0
17,ANO,85,Mária,Šimková,Ing.,37,učiteľka,Prešov,ANO,Mária Šimková,0
17,ANO,86,Vojtech,Bodnár,Ing.,44,manažér,Košice,ANO,Vojtech Bodnár,0
17,ANO,87,Anna,Václavíková,Ing. arch.,50,architektka,Lučenec,BEZPP,Anna Václavíková,0
17,ANO,88,Martin,Kochan,Ing.,24,obchodný riaditeľ,Rovinka,ANO,Martin Kochan,0
17,ANO,89,Miloslav,Kobulda,,41,manažér,Kanianka,ANO,Miloslav Kobulda,0
17,ANO,90,Mária,Adámeková,,40,ekonómka,Nitra,ANO,Mária Adámeková,0
17,ANO,91,Mikuláš,Janček,Ing.,56,manažér,Žilina,ANO,Mikuláš Janček,0
17,ANO,92,Renáta,Zichová,Mgr.,39,živnostníčka,Stará Ľubovňa,ANO,Renáta Zichová,0
17,ANO,93,Peter,Horbaj,doc. Ing. PhDr.,46,pedagóg,Košice,ANO,Peter Horbaj,0
17,ANO,94,Gabriel,Jellmann,Ing.,48,podnikateľ,Rimavská Sobota,ANO,Gabriel Jellmann,0
17,ANO,95,Jozef,Tomenga,Ing.,49,obchodno-technický riaditeľ,Banská Bystrica,ANO,Jozef Tomenga,0
17,ANO,96,Peter,Kocnár,,52,manažér,Trenčín,ANO,Peter Kocnár,0
17,ANO,97,Peter,Gádoši,Ing.,35,manažér,Trnava,ANO,Peter Gádoši,0
17,ANO,98,Helena,Venclová,Mgr.,44,pedagogička,Topoľčany,ANO,Helena Venclová,0
17,ANO,99,Mária,Keratová,,53,učiteľka,Ružomberok,BEZPP,Mária Keratová,0
17,ANO,100,Mária,Ľachová,,23,manažérka,Sabinov,ANO,Mária Ľachová,0
17,ANO,101,Ladislav,Olexa,Ing.,49,manažér,Košice,ANO,Ladislav Olexa,0
17,ANO,102,Karol,Krist,Ing.,38,úradník,Žiar nad Hronom,ANO,Karol Krist,0
17,ANO,103,Peter,Mazúr,Ing.,55,podnikateľ,Stupava,ANO,Peter Mazúr,0
17,ANO,104,Ján,Martinisko,Ing.,49,učiteľ,Dubnica nad Váhom,ANO,Ján Martinisko,0
17,ANO,105,Pavel,Daňko,MUDr.,36,lekár,Piešťany,ANO,Pavel Daňko,0
17,ANO,106,Štefan,Klemen,Ing.,53,úradník,Komárno,ANO,Štefan Klemen,0
17,ANO,107,Ivan,Lobík,Ing.,59,učiteľ,Kysucké Nové Mesto,ANO,Ivan Lobík,0
17,ANO,108,Jozef,Harviš,PhDr.,53,učiteľ,Svidník,ANO,Jozef Harviš,0
17,ANO,109,Gabriela,Borovská,JUDr.,43,právnička,Michalovce,ANO,Gabriela Borovská,0
17,ANO,110,Vojtech,Koóš,,27,podnikateľ,Cerovo,ANO,Vojtech Koóš,0
17,ANO,111,Patrik,Dvořák,,28,podnikateľ,Bratislava,ANO,Patrik Dvořák,0
17,ANO,112,Pavol,Valúch,Ing.,39,podnikateľ,Stará Turá,ANO,Pavol Valúch,0
17,ANO,113,Imrich,Antala,Ing.,41,úradník,Trnava,ANO,Imrich Antala,0
17,ANO,114,Milan,Klenko,Ing.,45,konateľ spoločnosti,Kuraľany,ANO,Milan Klenko,0
17,ANO,115,Július,Zentko,Ing.,52,technik,Spišská Belá,ANO,Július Zentko,0
17,ANO,116,Anna,Jacková,Ing.,54,ekonómka,Košice,ANO,Anna Jacková,0
17,ANO,117,Karol,Letko,Ing.,36,riaditeľ,Zvolen,ANO,Karol Letko,0
17,ANO,118,Ivana,Kniežová,Ing.,25,riaditeľka,Bratislava,ANO,Ivana Kniežová,0
17,ANO,119,Vladimír,Marko,,34,podnikateľ,Chynorany,ANO,Vladimír Marko,0
17,ANO,120,Alena,Junková,,41,manažérka,Skalica,ANO,Alena Junková,0
17,ANO,121,Martin,Raučina,Ing.,49,prednosta ŽSR,Nové Zámky,ANO,Martin Raučina,0
17,ANO,122,Peter,Kustra,Bc.,36,podnikateľ,Martin,ANO,Peter Kustra,0
17,ANO,123,Štefan,Antoňák,,49,živnostník,Medzilaborce,ANO,Štefan Antoňák,0
17,ANO,124,Gabriel,Fischer,Ing.,53,manažér,Košice,ANO,Gabriel Fischer,0
17,ANO,125,Ján,Šály,,36,podnikateľ,Rudno nad Hronom,ANO,Ján Šály,0
17,ANO,126,Vladimír,Mihálik,Mgr.,43,koordinátor dopravy,Bratislava,ANO,Vladimír Mihálik,0
17,ANO,127,Ján,Luhový,Ing.,39,podnikateľ,Púchov,ANO,Ján Luhový,0
17,ANO,128,Roman,Kristiník,,33,učiteľ,Senica,ANO,Roman Kristiník,0
17,ANO,129,Ivan,Mačura,PhDr.,63,pedagóg,Nitra,ANO,Ivan Mačura,0
17,ANO,130,Ján,Moľa,,39,podnikateľ,Dolný Kubín,ANO,Ján Moľa,0
17,ANO,131,Dušan,Drančák,PhDr.,42,učiteľ,Humenné,ANO,Dušan Drančák,0
17,ANO,132,Kristína,Priesterová,Ing.,48,manažérka,Košice,ANO,Kristína Priesterová,0
17,ANO,133,Jaroslav,Miháľ,Ing.,44,agronóm,Dolné Plachtince,BEZPP,Jaroslav Miháľ,0
17,ANO,134,Roman,Feranc,,26,obchodný zástupca,Bratislava,ANO,Roman Feranc,0
17,ANO,135,Jaroslav,Kucbel,Ing.,35,podnikateľ,Senica,ANO,Jaroslav Kucbel,0
17,ANO,136,Ľuboslav,Mazánik,Ing.,52,konateľ spoločnosti,Komárno,ANO,Ľuboslav Mazánik,0
17,ANO,137,Vladimír,Menich,JUDr.,47,podnikateľ,Martin,ANO,Vladimír Menich,0
17,ANO,138,Ján,Zoričák,JUDr.,51,komerčný právnik,Batizovce,ANO,Ján Zoričák,0
17,ANO,139,Michal,Ihnatko,MUDr.,45,lekár,Košice,ANO,Michal Ihnatko,0
17,ANO,140,Milan,Marko,Ing.,51,riaditeľ školy,Lučenec,BEZPP,Milan Marko,0
17,ANO,141,Veronika,Točková,Ing.,27,vedúca marketingu,Bratislava,ANO,Veronika Točková,0
17,ANO,142,Peter,Caletka,,37,podnikateľ,Popudinské Močidľany,ANO,Peter Caletka,0
17,ANO,143,Zuzana,Škublová,Ing.,24,asistentka,Šaľa,BEZPP,Zuzana Škublová,0
17,ANO,144,Zuzana,Mazúrová,Mgr.,25,manažérka,Stupava,ANO,Zuzana Mazúrová,0
17,ANO,145,Beáta,Bačiková,Mgr.,32,manažérka,Bratislava,ANO,Beáta Bačiková,0
17,ANO,146,Oľga,Fijková,,29,asistentka,Bardejov,BEZPP,Oľga Fijková,0
17,ANO,147,Vladimír,Mošať,Ing.,55,kontrolór,Košice,ANO,Vladimír Mošať,0
17,ANO,148,Dagmar,Skačanová,,23,podnikateľka,Vráble,ANO,Dagmar Skačanová,0
17,ANO,149,Ján,Olexa,Ing.,39,manažér,Košice,ANO,Ján Olexa,0
17,ANO,150,Ivana,Kvietková,,37,sociálna pracovníčka,Brezno,ANO,Ivana Kvietková,0
18,B-RRS,1,František,Dugovič,,53,robotník,Blatné,B-RRS,František Dugovič,1
18,B-RRS,2,Jana,Fraňová,,36,robotníčka,Čataj,B-RRS,Jana Fraňová,1
18,B-RRS,3,Ján,Chlebák,,35,baník,Revúca,B-RRS,Ján Chlebák,1
18,B-RRS,4,Mária,Markuliaková,,31,robotníčka,Cífer,B-RRS,Mária Markuliaková,1
18,B-RRS,5,Milan,Albertus,,46,vodič,Senec,B-RRS,Milan Albertus,1
18,B-RRS,6,Katarína,Juššíková,,37,kuchárka,Muráň,B-RRS,Katarína Juššíková,1
18,B-RRS,7,Milan,Kaťuch,,41,robotník,Podhoroď,B-RRS,Milan Kaťuch,1
18,B-RRS,8,Jana,Lindvaiová,,22,zdravotná sestra,Poproč,B-RRS,Jana Lindvaiová,1
18,B-RRS,9,Vladimír,Kriška,,52,vodič,Senec,B-RRS,Vladimír Kriška,1
18,B-RRS,10,Mária,Jakabová,,33,robotníčka,Kaplna,B-RRS,Mária Jakabová,1
18,B-RRS,11,Peter,Melich,,30,baník,Revúca,B-RRS,Peter Melich,1
18,B-RRS,12,Mariana,Tokarčíková,,31,robotníčka,Smižany,B-RRS,Mariana Tokarčíková,1
18,B-RRS,13,Martina,Kenická,,24,krajčírka,Banská Bystrica,B-RRS,Martina Kenická,1
18,B-RRS,14,Emília,Sujová,,21,robotníčka,Zvolen,B-RRS,Emília Sujová,1
18,B-RRS,15,Oľga,Zervanová,,31,robotníčka,Bratislava,B-RRS,Oľga Zervanová,1
18,B-RRS,16,Jaroslav,Korpala,,33,baník - údržbár,Revúca,B-RRS,Jaroslav Korpala,1
18,B-RRS,17,Lenka,Grgačová,,23,operátor,Trnava,B-RRS,Lenka Grgačová,1
18,B-RRS,18,Jozef,Koči,,49,vodič,Senec,B-RRS,Jozef Koči,1
18,B-RRS,19,Martina,Hrivňáková,,21,cukrárka,Trnava,B-RRS,Martina Hrivňáková,1
18,B-RRS,20,Alexander,Zachar,,49,maliar,Poniky,B-RRS,Alexander Zachar,1
18,B-RRS,21,Patrícia,Boháčiková,,27,robotníčka,Nitra,B-RRS,Patrícia Boháčiková,1
18,B-RRS,22,Jozef,Knap,,47,murár,Blatné,B-RRS,Jozef Knap,1
18,B-RRS,23,Adriana,Dobšinská,,32,robotníčka,Revúca,B-RRS,Adriana Dobšinská,1
18,B-RRS,24,Miroslav,Makula,,31,robotník,Smižany,B-RRS,Miroslav Makula,1
18,B-RRS,25,Mária,Sojková,,46,robotníčka,Trnava,B-RRS,Mária Sojková,1
18,B-RRS,26,Milan,Buzna,,37,robotník - železiar,Kľačno,B-RRS,Milan Buzna,1
18,B-RRS,27,Svetlana,Gondová,,36,manager maloobchodu,Slovenská Ľupča,B-RRS,Svetlana Gondová,1
18,B-RRS,28,Vladimír,Tarkanič,,42,železiar - viazač,Vranov nad Topľou,B-RRS,Vladimír Tarkanič,1
18,B-RRS,29,Lýdia,Porubská,,21,učiteľ - vychovávateľ,Trstená,B-RRS,Lýdia Porubská,1
18,B-RRS,30,Jaroslav,Gembický,,44,baník,Revúca,B-RRS,Jaroslav Gembický,1
18,B-RRS,31,Marcela,Slivošová,,21,zdravotná sestra,Trnava,B-RRS,Marcela Slivošová,1
18,B-RRS,32,Jaroslava,Jobeková,,36,robotníčka,Šúrovce,B-RRS,Jaroslava Jobeková,1
18,B-RRS,33,Ondrej,Janko,,39,vodič,Reca,B-RRS,Ondrej Janko,1
18,B-RRS,34,Božena,Gešková,,21,barmanka,Revúca,B-RRS,Božena Gešková,1
18,B-RRS,35,Mária,Jeremiašová,,32,robotníčka,Smižany,B-RRS,Mária Jeremiašová,1
18,B-RRS,36,Juraj,Križan,,38,skladník,Bratislava,B-RRS,Juraj Križan,1
18,B-RRS,37,Michaela,Kučerová,,21,čašníčka,Trnava,B-RRS,Michaela Kučerová,1
18,B-RRS,38,Jozef,Benkovský,,34,robotník,Čataj,B-RRS,Jozef Benkovský,1
18,B-RRS,39,Marcela,Hunyáková,,32,robotníčka,Jelšava,B-RRS,Marcela Hunyáková,1
18,B-RRS,40,Milan,Frenko,,33,robotník,Kováčová,B-RRS,Milan Frenko,1
18,B-RRS,41,Mária,Roubalíková,,24,predavačka,Igram,B-RRS,Mária Roubalíková,1
18,B-RRS,42,Rudolf,Poša,,35,vodič,Senec,B-RRS,Rudolf Poša,1
18,B-RRS,43,Eva,Macková,,23,zdravotná sestra,Poproč,B-RRS,Eva Macková,1
18,B-RRS,44,Stanislav,Chobot,,46,robotník,Výčapy - Opatovce,B-RRS,Stanislav Chobot,1
18,B-RRS,45,Jozef,Ferko,,26,robotník,Revúca,B-RRS,Jozef Ferko,1
18,B-RRS,46,Ingrid,Pančušková,,29,robotníčka,Nitra,B-RRS,Ingrid Pančušková,1
18,B-RRS,47,Jozef,Valentíny,,37,robotník,Podhorany,B-RRS,Jozef Valentíny,1
18,B-RRS,48,Marcel,Bahleda,,26,robotník,Zvolen,B-RRS,Marcel Bahleda,1
18,B-RRS,49,Mária,Valášková,,42,robotníčka,Trnava,B-RRS,Mária Valášková,1
18,B-RRS,50,Milan,Škorvaga,,45,robotník,Trnava,B-RRS,Milan Škorvaga,1
8,HZD,1,Ivan,Gašparovič,doc. JUDr. CSc.,61,vysokoškol. pedagóg,Bratislava,HZD,Ivan Gašparovič,1
8,HZD,2,Mojmír,Mamojka,prof. JUDr.,52,vysokoškol. pedagóg,Bratislava,BEZPP,Mojmír Mamojka,1
8,HZD,3,Marta,Aibeková,PhDr.,55,psychologička,Bratislava,HZD,Marta Aibeková,1
8,HZD,4,Ján,Benčat,prof. Ing. CSc.,58,vysokoškol. pedagóg,Žilina,HZD,Ján Benčat,1
8,HZD,5,Ján,Koršó,,52,primátor,Poltár,HZD,Ján Koršó,1
8,HZD,6,Vladimír,Vranovič,Mgr.,55,primátor,Sereď,HZD,Vladimír Vranovič,1
8,HZD,7,Jozef,Grapa,Ing.,44,elektrotechnický inžinier,Krásno nad Kysucou,HZD,Jozef Grapa,1
8,HZD,8,Martin,Sarvaš,Ing. arch.,41,manažér,Bratislava,HZD,Martin Sarvaš,1
8,HZD,9,Jozef,Šimko,JUDr.,51,právnik,Rimavská Sobota,HZD,Jozef Šimko,1
8,HZD,10,Dušan,Smatana,Ing.,49,podnikateľ,Topoľčianky,HZD,Dušan Smatana,1
8,HZD,11,Peter,Szabo,Mgr.,39,riaditeľ MKS,Senec,HZD,Peter Szabo,1
8,HZD,12,Jozef,Studenič,Dipl. tech.,50,manažér,Bratislava,HZD,Jozef Studenič,1
8,HZD,13,Anna,Brodanská,PhDr.,44,SZČO,Prešov,HZD,Anna Brodanská,1
8,HZD,14,Igor,Tinka,,39,riaditeľ,Nové Mesto nad Váhom,HZD,Igor Tinka,1
8,HZD,15,Viera,Tomčíková,,43,starostka obce,Liptovské Kľačany,HZD,Viera Tomčíková,1
8,HZD,16,Gerd,Sabo,Mgr.,29,živnostník,Košice,HZD,Gerd Sabo,1
8,HZD,17,Ján,Godál,,52,št. zamestnanec,Trnava,HZD,Ján Godál,1
8,HZD,18,Ivan,Šaško,Ing.,55,primátor,Tvrdošín,HZD,Ivan Šaško,1
8,HZD,19,Ján,Chromek,Ing.,38,št. zamestnanec,Kokava nad Rimavicou,HZD,Ján Chromek,1
8,HZD,20,Marián,Kollár,MUDr.,43,lekár,Bratislava,HZD,Marián Kollár,1
8,HZD,21,Katarína,Chajdáková,Mgr.,29,spisovateľka publicistka,Žilina,HZD,Katarína Chajdáková,1
8,HZD,22,Marian,Jaroš,,55,podnikateľ,Košice,HZD,Marian Jaroš,1
8,HZD,23,Jozef,Krnáč,,23,študent,Detva,HZD,Jozef Krnáč,1
8,HZD,24,Mikuláš,Hašan,Ing.,53,podnikateľ,Banka,HZD,Mikuláš Hašan,1
8,HZD,25,Robert,Kováč,,34,poradca,Nové Zámky,HZD,Robert Kováč,1
8,HZD,26,Ľubomír,Martinka,Mgr.,38,pedagóg,Nitra,HZD,Ľubomír Martinka,1
8,HZD,27,Marta,Podhradská,,53,novinárka,Bratislava,HZD,Marta Podhradská,1
8,HZD,28,Ivan,Sýkora,,39,podnikateľ,Nitra,HZD,Ivan Sýkora,1
8,HZD,29,Ján,Zátek,,37,predseda družstva,Krásno nad Kysucou,HZD,Ján Zátek,1
8,HZD,30,Jozef,Kyzek,Bc.,43,námestník gen. riaditeľa,Čadca,HZD,Jozef Kyzek,1
8,HZD,31,Dáša,Machalová,,49,tlmočníčka,Bratislava,HZD,Dáša Machalová,1
8,HZD,32,Alojz,Hančin,,33,riaditeľ,Želiezovce,HZD,Alojz Hančin,1
8,HZD,33,Peter,Pethő,Ing.,33,starosta,Partizánska Ľupča,HZD,Peter Pethő,1
8,HZD,34,Jozef,Zima,Ing.,52,ekonóm,Levice,HZD,Jozef Zima,1
8,HZD,35,Ľuboš,Štrba,,35,novinár,Hlohovec,HZD,Ľuboš Štrba,1
8,HZD,36,Mariana,Mocáková,Ing.,34,podnikateľ,Humenné,HZD,Mariana Mocáková,1
8,HZD,37,Juraj,Choma,,44,riaditeľ,Dolný Kubín,HZD,Juraj Choma,1
8,HZD,38,Jarmila,Michalovová,PhDr.,46,sociologička,Gelnica,HZD,Jarmila Michalovová,1
8,HZD,39,Mária,Galiková,Ing.,46,ekonómka,Kežmarok,HZD,Mária Galiková,1
8,HZD,40,Peter,Marček,,48,manažér,Bratislava,HZD,Peter Marček,1
8,HZD,41,Dušan,Karaba,Ing.,48,technik,Piešťany,HZD,Dušan Karaba,1
8,HZD,42,Ľubica,Juranová,,53,technický pracovník,Bratislava,BEZPP,Ľubica Juranová,1
8,HZD,43,Jozef,Štefánik,,23,študent,Trnava,HZD,Jozef Štefánik,1
8,HZD,44,Dezider,Szabó,,57,podnikateľ,Dunajská Streda,HZD,Dezider Szabó,1
6,HZDS,1,Vladimír,Mečiar,JUDr.,60,právnik,Bratislava,HZDS,Vladimír Mečiar,0
6,HZDS,2,Eva,Antošová,Ing.,37,primátorka mesta,Nová Dubnica,HZDS,Eva Antošová,0
6,HZDS,3,Sergej,Kozlík,Ing.,52,poslanec NR SR,Bratislava,HZDS,Sergej Kozlík,0
6,HZDS,4,Rudolf,Žiak,Mgr.,47,manažér,Stará Ľubovňa,HZDS,Rudolf Žiak,0
6,HZDS,5,Vojtech,Tkáč,doc. JUDr. CSc.,53,poslanec NR SR,Bratislava,HZDS,Vojtech Tkáč,0
6,HZDS,6,Ján,Mikolaj,prof. Ing. CSc.,48,univerzitný profesor,Rajecké Teplice,HZDS,Ján Mikolaj,0
6,HZDS,7,Ján,Jasovský,doc. Ing. CSc.,53,poslanec NR SR,Zvolenská Slatina,HZDS,Ján Jasovský,0
6,HZDS,8,Tibor,Mikuš,Ing.,49,generálny riaditeľ,Trnava,HZDS,Tibor Mikuš,0
6,HZDS,9,Viliam,Soboňa,MUDr.,54,radca riaditeľa,Nové Zámky,HZDS,Viliam Soboňa,0
6,HZDS,10,Viliam,Veteška,JUDr.,49,podnikateľ,Púchov,HZDS,Viliam Veteška,0
6,HZDS,11,Ján,Kovarčík,Ing.,51,ekonóm,Nitra,HZDS,Ján Kovarčík,0
6,HZDS,12,Ján,Gabriel,Ing.,46,poslanec NR SR,Trnava,HZDS,Ján Gabriel,0
6,HZDS,13,Ľudmila,Mušková,Mgr.,53,poslankyňa NR SR,Kysucké Nové Mesto,HZDS,Ľudmila Mušková,0
6,HZDS,14,Anton,Blajsko,PaedDr.,46,vedúci odboru,Bardejov,HZDS,Anton Blajsko,0
6,HZDS,15,Ivan,Kiňo,Ing.,47,audítor,Banská Bystrica,HZDS,Ivan Kiňo,0
6,HZDS,16,Ladislav,Polka,JUDr.,50,advokát,Bratislava,HZDS,Ladislav Polka,0
