no,source,target,candidates,percentage
80,ANO (2002),ANO (2006),23,0.15
81,PSNS (2002),SNS (2006),24,0.16
82,OKS (2002),OKS (2006),27,0.55
83,HZDS (2002),LS-HZDS (2006),34,0.23
84,KSS (2002),KSS (2006),40,0.27
85,SDKU (2002),SDKU-DS (2006),44,0.31
86,SMK-MKP (2002),SMK-MKP (2006),52,0.35
87,KDH (2002),KDH (2006),58,0.39
88,SMER (2002),SMER (2006),60,0.40
89,ANO (2006),SDL (2010),3,0.02
90,ASV (2006),SDL (2010),13,0.17
91,HZD (2006),AZEN (2010),2,0.01
92,HZD (2006),ND (2010),1,0.01
93,HZD (2006),SNS (2010),1,0.01
94,KDH (2006),KDH (2010),48,0.32
95,KSS (2006),KSS (2010),40,0.27
96,KSS (2006),Unia (2010),1,0.01
97,LS-HZDS (2006),AZEN (2010),3,0.02
98,LS-HZDS (2006),LS-HZDS (2010),51,0.34
99,LS-HZDS (2006),ND (2010),3,0.02
100,Nadej (2006),Most-Hid (2010),1,0.03
101,Nadej (2006),SaS (2010),1,0.03
102,OKS (2006),LS-HZDS (2010),1,0.01
103,OKS (2006),Most-Hid (2010),11,0.07
104,PS (2006),EDS (2010),1,0.02
105,PS (2006),Most-Hid (2010),1,0.02
106,SDKU-DS (2006),SDKU-DS (2010),47,0.31
107,SDKU-DS (2006),Unia (2010),5,0.03
108,SDL (2006),SDL (2010),1,0.03
109,SF (2006),EDS (2010),1,0.01
110,SF (2006),SaS (2010),1,0.01
111,SF (2006),SDL (2010),4,0.03
112,SF (2006),Unia (2010),10,0.07
113,SF (2006),ZRS (2010),1,0.01
114,SLNKO (2006),LS-HZDS (2010),2,0.01
115,SLNKO (2006),LSNS (2010),1,0.01
116,SLS (2006),LSNS (2010),7,0.12
117,SMER (2006),SMER (2010),79,0.53
118,SMK-MKP (2006),Most-Hid (2010),13,0.09
119,SMK-MKP (2006),SMK-MKP (2010),57,0.38
120,SNS (2006),ND (2010),2,0.01
121,SNS (2006),SNS (2010),50,0.33
122,SOS (2006),SDKU-DS (2010),1,0.01
123,SOS (2006),SDL (2010),3,0.03
124,SOS (2006),Unia (2010),1,0.01
125,ZRS (2006),ZRS (2010),17,0.14
126,AZEN (2010),99% (2012),1,0.01
127,AZEN (2010),LS-HZDS (2012),1,0.01
128,AZEN (2010),Most-Hid (2012),1,0.01
129,AZEN (2010),PaS (2012),1,0.01
130,EDS (2010),Most-Hid (2012),1,0.01
131,EDS (2010),NaS-ns (2012),1,0.01
132,EDS (2010),PaS (2012),1,0.01
133,KDH (2010),KDH (2012),66,0.44
134,KSS (2010),KSS (2012),65,0.43
135,LS-HZDS (2010),LS-HZDS (2012),55,0.37
136,LS-HZDS (2010),SNS (2012),1,0.01
137,LS-HZDS (2010),SOSKA (2012),1,0.01
138,LSNS (2010),LSNS (2012),18,0.41
139,Most-Hid (2010),Most-Hid (2012),62,0.41
140,Most-Hid (2010),OLaNO (2012),9,0.06
141,Most-Hid (2010),SaS (2012),1,0.01
142,Most-Hid (2010),SSS-NM (2012),1,0.01
143,ND (2010),NaS-ns (2012),1,0.01
144,SaS (2010),OLaNO (2012),4,0.03
145,SaS (2010),SaS (2012),74,0.49
146,SDKU-DS (2010),SDKU-DS (2012),72,0.48
147,SDL (2010),99% (2012),4,0.03
148,SDL (2010),NAS KRAJ (2012),2,0.01
149,SDL (2010),SDL (2012),12,0.08
150,SDL (2010),SF (2012),1,0.01
151,SDL (2010),SZ (2012),4,0.03
152,SDL (2010),SZS (2012),2,0.01
153,SMER (2010),SMER-SD (2012),109,0.73
154,SMER (2010),SZS (2012),1,0.01
155,SMK-MKP (2010),SMK-MKP (2012),56,0.37
156,SNS (2010),NaS-ns (2012),10,0.07
157,SNS (2010),SDL (2012),1,0.01
158,SNS (2010),SNS (2012),44,0.29
159,SRK (2010),SDL (2012),1,0.01
160,SRK (2010),SMK-MKP (2012),1,0.01
161,SRK (2010),SRUS (2012),1,0.01
162,Unia (2010),1hlas (2012),1,0.01
163,Unia (2010),Most-Hid (2012),2,0.01
164,Unia (2010),NaS-ns (2012),2,0.01
165,Unia (2010),SDL (2012),1,0.01
166,Unia (2010),SF (2012),14,0.09
167,Unia (2010),Zmena zdola-DU (2012),2,0.01
168,ZRS (2010),KSS (2012),1,0.01
169,1HLAS (2012),Priama demokracia (2016),1,0.05
170,1HLAS (2012),SKOK (2016),1,0.05
171,99% (2012),#Siet (2016),1,0.01
172,99% (2012),SaS (2016),1,0.01
173,99% (2012),SMS (2016),1,0.01
174,99% (2012),Vzdor (2016),1,0.01
175,KDH (2012),#Siet (2016),2,0.01
176,KDH (2012),KDH (2016),45,0.30
177,KDH (2012),LSNS (2016),1,0.01
178,KDH (2012),OLaNO (2016),2,0.01
179,KSS (2012),KSS (2016),39,0.26
180,KSS (2012),Vzdor (2016),3,0.02
181,LS-HZDS (2012),SNS (2016),5,0.03
182,LS-HZDS (2012),SMS (2016),5,0.03
183,LS-HZDS (2012),Tip (2016),1,0.01
184,LSNS (2012),LSNS (2016),18,0.26
185,LSNS (2012),O2H (2016),2,0.03
186,LSNS (2012),Spolocne (2016),1,0.01
187,Most-Hid (2012),#Siet (2016),1,0.01
188,Most-Hid (2012),Most-Hid (2016),46,0.31
189,Most-Hid (2012),OLaNO (2016),2,0.01
190,Nas kraj (2012),Vzdor (2016),1,0.01
191,Nas kraj (2012),O2H (2016),2,0.02
192,Nas kraj (2012),Most-Hid (2016),1,0.01
193,NaS-ns (2012),Priama demokracia (2016),1,0.01
194,NaS-ns (2012),Sme rodina (2016),1,0.01
195,OLaNO (2012),KDH (2016),2,0.02
196,OLaNO (2012),OLaNO (2016),21,0.19
197,OLaNO (2012),Priama demokracia (2016),1,0.01
198,OLaNO (2012),SaS (2016),2,0.02
199,OLaNO (2012),Vzdor (2016),1,0.01
200,PaS (2012),O2H (2016),4,0.03
201,PaS (2012),Priama demokracia (2016),2,0.01
202,PaS (2012),Sme rodina (2016),1,0.01
203,PaS (2012),Spolocne (2016),1,0.01
204,SaS (2012),SMK-MKP (2016),1,0.01
205,SaS (2012),SaS (2016),45,0.30
206,SaS (2012),SKOK (2016),12,0.08
207,SDKU-DS (2012),#Siet (2016),5,0.03
208,SDKU-DS (2012),DS-L.Kanik (2016),2,0.01
209,SDKU-DS (2012),Most-Hid (2016),4,0.03
210,SDKU-DS (2012),OLaNO (2016),1,0.01
211,SDKU-DS (2012),SaS (2016),1,0.01
212,SDKU-DS (2012),SDKU-DS (2016),10,0.07
213,SDKU-DS (2012),SKOK (2016),1,0.01
214,SDKU-DS (2012),SNS (2016),2,0.01
215,SDKU-DS (2012),Sanca (2016),8,0.05
216,SDL (2012),Tip (2016),1,0.01
217,SF (2012),SNS (2016),1,0.01
218,SMER-SD (2012),SMER-SD (2016),107,0.71
219,SMK-MKP (2012),SKOK (2016),1,0.01
220,SMK-MKP (2012),SMK-MKP (2016),65,0.43
221,SNS (2012),LSNS (2016),2,0.01
222,SNS (2012),SDKU-DS (2016),1,0.01
223,SNS (2012),SNS (2016),33,0.22
224,SOSKA (2012),SDKU-DS (2016),1,0.01
225,SOSKA (2012),Sme rodina (2016),1,0.01
226,SOSKA (2012),Spolocne (2016),1,0.01
227,SOSKA (2012),Tip (2016),2,0.01
228,SRUS (2012),Priama demokracia (2016),1,0.03
229,SSS-NM (2012),Priama demokracia (2016),1,0.01
230,SZ (2012),#Siet (2016),1,0.01
231,SZ (2012),O2H (2016),1,0.01
232,SZS (2012),MKDH (2016),2,0.07
233,Zmena zdola-DU (2012),#Siet (2016),1,0.02
234,Zmena zdola-DU (2012),O2H (2016),1,0.02
235,Zmena zdola-DU (2012),OLaNO (2016),2,0.04
236,Zmena zdola-DU (2012),SZS (2016),3,0.06
